"Subject","Point_FPSR","Name_of_the_statistical_factor","Importance_of_the_statistical_factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",28028
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",2932
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",34339
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,866706018"
"Белгородская область","3_1","Количество ДТП с пострадавшими",949
"Белгородская область","3_1","Количество лиц, погибших в результате ДТП",146
"Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1244
"Белгородская область","3_1","Число погибших на 100 пострадавших","10,50359712"
"Брянская область","3_1","Количество ДТП с пострадавшими",532
"Брянская область","3_1","Количество лиц, погибших в результате ДТП",83
"Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",630
"Брянская область","3_1","Число погибших на 100 пострадавших","11,64095372"
"Владимирская область","3_1","Количество ДТП с пострадавшими",1608
"Владимирская область","3_1","Количество лиц, погибших в результате ДТП",188
"Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2110
"Владимирская область","3_1","Число погибших на 100 пострадавших","8,18102698"
"Воронежская область","3_1","Количество ДТП с пострадавшими",2286
"Воронежская область","3_1","Количество лиц, погибших в результате ДТП",293
"Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2880
"Воронежская область","3_1","Число погибших на 100 пострадавших","9,234163252"
"Ивановская область","3_1","Количество ДТП с пострадавшими",884
"Ивановская область","3_1","Количество лиц, погибших в результате ДТП",63
"Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1079
"Ивановская область","3_1","Число погибших на 100 пострадавших","5,516637478"
"Калужская область","3_1","Количество ДТП с пострадавшими",1008
"Калужская область","3_1","Количество лиц, погибших в результате ДТП",101
"Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1239
"Калужская область","3_1","Число погибших на 100 пострадавших","7,537313433"
"Костромская область","3_1","Количество ДТП с пострадавшими",642
"Костромская область","3_1","Количество лиц, погибших в результате ДТП",46
"Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",830
"Костромская область","3_1","Число погибших на 100 пострадавших","5,251141553"
"Курская область","3_1","Количество ДТП с пострадавшими",1038
"Курская область","3_1","Количество лиц, погибших в результате ДТП",109
"Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1299
"Курская область","3_1","Число погибших на 100 пострадавших","7,741477273"
"Липецкая область","3_1","Количество ДТП с пострадавшими",958
"Липецкая область","3_1","Количество лиц, погибших в результате ДТП",129
"Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1212
"Липецкая область","3_1","Число погибших на 100 пострадавших","9,619686801"
"г. Москва","3_1","Количество ДТП с пострадавшими",7112
"г. Москва","3_1","Количество лиц, погибших в результате ДТП",277
"г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",8106
"г. Москва","3_1","Число погибших на 100 пострадавших","3,304306334"
"Московская область","3_1","Количество ДТП с пострадавшими",3606
"Московская область","3_1","Количество лиц, погибших в результате ДТП",646
"Московская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4133
"Московская область","3_1","Число погибших на 100 пострадавших","13,51747227"
"Орловская область","3_1","Количество ДТП с пострадавшими",577
"Орловская область","3_1","Количество лиц, погибших в результате ДТП",73
"Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",730
"Орловская область","3_1","Число погибших на 100 пострадавших","9,090909091"
"Рязанская область","3_1","Количество ДТП с пострадавшими",1262
"Рязанская область","3_1","Количество лиц, погибших в результате ДТП",181
"Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1696
"Рязанская область","3_1","Число погибших на 100 пострадавших","9,643047416"
"Смоленская область","3_1","Количество ДТП с пострадавшими",764
"Смоленская область","3_1","Количество лиц, погибших в результате ДТП",80
"Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",914
"Смоленская область","3_1","Число погибших на 100 пострадавших","8,048289738"
"Тамбовская область","3_1","Количество ДТП с пострадавшими",917
"Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",113
"Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1234
"Тамбовская область","3_1","Число погибших на 100 пострадавших","8,389012621"
"Тверская область","3_1","Количество ДТП с пострадавшими",1237
"Тверская область","3_1","Количество лиц, погибших в результате ДТП",142
"Тверская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1570
"Тверская область","3_1","Число погибших на 100 пострадавших","8,294392523"
"Тульская область","3_1","Количество ДТП с пострадавшими",1480
"Тульская область","3_1","Количество лиц, погибших в результате ДТП",149
"Тульская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1959
"Тульская область","3_1","Число погибших на 100 пострадавших","7,068311195"
"Ярославская область","3_1","Количество ДТП с пострадавшими",1168
"Ярославская область","3_1","Количество лиц, погибших в результате ДТП",113
"Ярославская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1474
"Ярославская область","3_1","Число погибших на 100 пострадавших","7,120352867"
"Северо-Западный фед.округ","3_1","Количество ДТП с пострадавшими",11521
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1020
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",14111
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6,741127487"
"Республика Карелия","3_1","Количество ДТП с пострадавшими",500
"Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",45
"Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",646
"Республика Карелия","3_1","Число погибших на 100 пострадавших","6,512301013"
"Республика Коми","3_1","Количество ДТП с пострадавшими",731
"Республика Коми","3_1","Количество лиц, погибших в результате ДТП",57
"Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",952
"Республика Коми","3_1","Число погибших на 100 пострадавших","5,649157582"
"Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",699
"Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",76
"Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",917
"Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","7,653575025"
"Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",677
"Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",76
"Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",890
"Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","7,867494824"
"Ненецкий АО","3_1","Количество ДТП с пострадавшими",22
"Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",0
"Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",27
"Ненецкий АО","3_1","Число погибших на 100 пострадавших",0
"Вологодская область","3_1","Количество ДТП с пострадавшими",1195
"Вологодская область","3_1","Количество лиц, погибших в результате ДТП",117
"Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1565
"Вологодская область","3_1","Число погибших на 100 пострадавших","6,956004756"
"Калининградская область","3_1","Количество ДТП с пострадавшими",791
"Калининградская область","3_1","Количество лиц, погибших в результате ДТП",73
"Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",908
"Калининградская область","3_1","Число погибших на 100 пострадавших","7,44138634"
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",5780
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",424
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6782
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","5,883985568"
"Ленинградская область","3_1","Количество ДТП с пострадавшими",1850
"Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",300
"Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2285
"Ленинградская область","3_1","Число погибших на 100 пострадавших","11,60541586"
"г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",3930
"г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",124
"г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4497
"г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","2,683401861"
"Мурманская область","3_1","Количество ДТП с пострадавшими",584
"Мурманская область","3_1","Количество лиц, погибших в результате ДТП",43
"Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",754
"Мурманская область","3_1","Число погибших на 100 пострадавших","5,39523212"
"Новгородскаяобласть","3_1","Количество ДТП с пострадавшими",631
"Новгородскаяобласть","3_1","Количество лиц, погибших в результате ДТП",82
"Новгородскаяобласть","3_1","Количество лиц, получивших ранения в результате совершения ДТП",777
"Новгородскаяобласть","3_1","Число погибших на 100 пострадавших","9,545983702"
"Псковская область","3_1","Количество ДТП с пострадавшими",610
"Псковская область","3_1","Количество лиц, погибших в результате ДТП",103
"Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",810
"Псковская область","3_1","Число погибших на 100 пострадавших","11,28148959"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",5350
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",908
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",7183
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","11,22234582"
"Ставропольский край","3_1","Количество ДТП с пострадавшими",2129
"Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",284
"Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2764
"Ставропольский край","3_1","Число погибших на 100 пострадавших","9,317585302"
"Республика Ингушетия","3_1","Количество ДТП с пострадавшими",200
"Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",49
"Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",305
"Республика Ингушетия","3_1","Число погибших на 100 пострадавших","13,84180791"
"Республика Дагестан","3_1","Количество ДТП с пострадавшими",1300
"Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",276
"Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1823
"Республика Дагестан","3_1","Число погибших на 100 пострадавших","13,14911863"
"Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",483
"Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",106
"Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",584
"Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","15,36231884"
"Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",671
"Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",69
"Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",947
"Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","6,791338583"
"Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",407
"Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",74
"Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",538
"Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","12,09150327"
"Чеченская Республика","3_1","Количество ДТП с пострадавшими",160
"Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",50
"Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",222
"Чеченская Республика","3_1","Число погибших на 100 пострадавших","18,38235294"
"Южный фед.округ","3_1","Количество ДТП с пострадавшими",12939
"Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1648
"Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",16260
"Южный фед.округ","3_1","Число погибших на 100 пострадавших","9,202591021"
"Краснодарский край","3_1","Количество ДТП с пострадавшими",5229
"Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",670
"Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6494
"Краснодарский край","3_1","Число погибших на 100 пострадавших","9,352317141"
"Астраханская область","3_1","Количество ДТП с пострадавшими",839
"Астраханская область","3_1","Количество лиц, погибших в результате ДТП",66
"Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1072
"Астраханская область","3_1","Число погибших на 100 пострадавших","5,799648506"
"Волгоградская область","3_1","Количество ДТП с пострадавшими",2012
"Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",217
"Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2605
"Волгоградская область","3_1","Число погибших на 100 пострадавших","7,689581857"
"Ростовская область","3_1","Количество ДТП с пострадавшими",2229
"Ростовская область","3_1","Количество лиц, погибших в результате ДТП",381
"Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2686
"Ростовская область","3_1","Число погибших на 100 пострадавших","12,42256276"
"Республика Адыгея","3_1","Количество ДТП с пострадавшими",361
"Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",60
"Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",426
"Республика Адыгея","3_1","Число погибших на 100 пострадавших","12,34567901"
"Республика Калмыкия","3_1","Количество ДТП с пострадавшими",352
"Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",58
"Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",542
"Республика Калмыкия","3_1","Число погибших на 100 пострадавших","9,666666667"
"Республика Крым","3_1","Количество ДТП с пострадавшими",1396
"Республика Крым","3_1","Количество лиц, погибших в результате ДТП",168
"Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1795
"Республика Крым","3_1","Число погибших на 100 пострадавших","8,558329088"
"г. Севастополь","3_1","Количество ДТП с пострадавшими",521
"г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",28
"г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",640
"г. Севастополь","3_1","Число погибших на 100 пострадавших","4,191616766"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",25057
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",2659
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",31818
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7,712387969"
"Республика Башкортостан","3_1","Количество ДТП с пострадавшими",3221
"Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",380
"Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3951
"Республика Башкортостан","3_1","Число погибших на 100 пострадавших","8,773955207"
"Республика Марий Эл","3_1","Количество ДТП с пострадавшими",603
"Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",93
"Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",810
"Республика Марий Эл","3_1","Число погибших на 100 пострадавших","10,29900332"
"Республика Мордовия","3_1","Количество ДТП с пострадавшими",620
"Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",102
"Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",821
"Республика Мордовия","3_1","Число погибших на 100 пострадавших","11,05092091"
"Республика Татарстан","3_1","Количество ДТП с пострадавшими",3023
"Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",285
"Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3720
"Республика Татарстан","3_1","Число погибших на 100 пострадавших","7,116104869"
"Удмуртская Республика","3_1","Количество ДТП с пострадавшими",1208
"Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",119
"Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1470
"Удмуртская Республика","3_1","Число погибших на 100 пострадавших","7,488986784"
"Чувашская Республика","3_1","Количество ДТП с пострадавшими",912
"Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",103
"Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1161
"Чувашская Республика","3_1","Число погибших на 100 пострадавших","8,148734177"
"Кировская область","3_1","Количество ДТП с пострадавшими",1389
"Кировская область","3_1","Количество лиц, погибших в результате ДТП",140
"Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1765
"Кировская область","3_1","Число погибших на 100 пострадавших","7,349081365"
"Нижегородская область","3_1","Количество ДТП с пострадавшими",3984
"Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",273
"Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5078
"Нижегородская область","3_1","Число погибших на 100 пострадавших","5,101850121"
"Оренбургская область","3_1","Количество ДТП с пострадавшими",1196
"Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",178
"Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1458
"Оренбургская область","3_1","Число погибших на 100 пострадавших","10,8801956"
"Пензенская область","3_1","Количество ДТП с пострадавшими",1340
"Пензенская область","3_1","Количество лиц, погибших в результате ДТП",140
"Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1796
"Пензенская область","3_1","Число погибших на 100 пострадавших","7,231404959"
"Пермский край","3_1","Количество ДТП с пострадавшими",1685
"Пермский край","3_1","Количество лиц, погибших в результате ДТП",204
"Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2159
"Пермский край","3_1","Число погибших на 100 пострадавших","8,633093525"
"Самарская область","3_1","Количество ДТП с пострадавшими",2618
"Самарская область","3_1","Количество лиц, погибших в результате ДТП",288
"Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3298
"Самарская область","3_1","Число погибших на 100 пострадавших","8,031232571"
"Саратовская область","3_1","Количество ДТП с пострадавшими",2362
"Саратовская область","3_1","Количество лиц, погибших в результате ДТП",231
"Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3122
"Саратовская область","3_1","Число погибших на 100 пострадавших","6,889352818"
"Ульяновская область","3_1","Количество ДТП с пострадавшими",896
"Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",123
"Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1209
"Ульяновская область","3_1","Число погибших на 100 пострадавших","9,234234234"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",9845
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",906
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",12608
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","6,70415865"
"Курганская область","3_1","Количество ДТП с пострадавшими",718
"Курганская область","3_1","Количество лиц, погибших в результате ДТП",100
"Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",867
"Курганская область","3_1","Число погибших на 100 пострадавших","10,34126163"
"Свердловская область","3_1","Количество ДТП с пострадавшими",2400
"Свердловская область","3_1","Количество лиц, погибших в результате ДТП",302
"Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2982
"Свердловская область","3_1","Число погибших на 100 пострадавших","9,196102314"
"Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",3597
"Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",259
"Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4835
"Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5,084413035"
"Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",2211
"Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",141
"Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2922
"Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4,603330069"
"Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",1131
"Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",95
"Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1597
"Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","5,61465721"
"Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",255
"Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",23
"Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",316
"Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","6,784660767"
"Челябинская область","3_1","Количество ДТП с пострадавшими",3130
"Челябинская область","3_1","Количество лиц, погибших в результате ДТП",245
"Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3924
"Челябинская область","3_1","Число погибших на 100 пострадавших","5,876709043"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",14254
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1665
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",18162
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","8,397639582"
"Республика Алтай","3_1","Количество ДТП с пострадавшими",334
"Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",41
"Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",438
"Республика Алтай","3_1","Число погибших на 100 пострадавших","8,559498956"
"Республика Тыва","3_1","Количество ДТП с пострадавшими",383
"Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",78
"Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",621
"Республика Тыва","3_1","Число погибших на 100 пострадавших","11,15879828"
"Республика Хакасия","3_1","Количество ДТП с пострадавшими",443
"Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",52
"Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",532
"Республика Хакасия","3_1","Число погибших на 100 пострадавших","8,904109589"
"Алтайский край","3_1","Количество ДТП с пострадавшими",2107
"Алтайский край","3_1","Количество лиц, погибших в результате ДТП",247
"Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2730
"Алтайский край","3_1","Число погибших на 100 пострадавших","8,296943231"
"Красноярский край","3_1","Количество ДТП с пострадавшими",2472
"Красноярский край","3_1","Количество лиц, погибших в результате ДТП",287
"Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3066
"Красноярский край","3_1","Число погибших на 100 пострадавших","8,559498956"
"Иркутская область","3_1","Количество ДТП с пострадавшими",2094
"Иркутская область","3_1","Количество лиц, погибших в результате ДТП",255
"Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2635
"Иркутская область","3_1","Число погибших на 100 пострадавших","8,823529412"
"Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",2217
"Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",271
"Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2831
"Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","8,736299162"
"Новосибирская область","3_1","Количество ДТП с пострадавшими",1926
"Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",224
"Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2407
"Новосибирская область","3_1","Число погибших на 100 пострадавших","8,513873052"
"Омская область","3_1","Количество ДТП с пострадавшими",1858
"Омская область","3_1","Количество лиц, погибших в результате ДТП",143
"Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2419
"Омская область","3_1","Число погибших на 100 пострадавших","5,581576893"
"Томская область","3_1","Количество ДТП с пострадавшими",420
"Томская область","3_1","Количество лиц, погибших в результате ДТП",67
"Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",483
"Томская область","3_1","Число погибших на 100 пострадавших","12,18181818"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",8050
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1010
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",10190
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","9,017857143"
"Республика Бурятия","3_1","Количество ДТП с пострадавшими",869
"Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",116
"Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1166
"Республика Бурятия","3_1","Число погибших на 100 пострадавших","9,048361934"
"Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",679
"Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",81
"Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",902
"Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","8,240081384"
"Забайкальский край","3_1","Количество ДТП с пострадавшими",850
"Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",185
"Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",980
"Забайкальский край","3_1","Число погибших на 100 пострадавших","15,87982833"
"Приморский край","3_1","Количество ДТП с пострадавшими",2190
"Приморский край","3_1","Количество лиц, погибших в результате ДТП",221
"Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2822
"Приморский край","3_1","Число погибших на 100 пострадавших","7,262569832"
"Хабаровский край","3_1","Количество ДТП с пострадавшими",1307
"Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",129
"Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1582
"Хабаровский край","3_1","Число погибших на 100 пострадавших","7,539450614"
"Камчатский край","3_1","Количество ДТП с пострадавшими",347
"Камчатский край","3_1","Количество лиц, погибших в результате ДТП",37
"Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",431
"Камчатский край","3_1","Число погибших на 100 пострадавших","7,905982906"
"Амурская область","3_1","Количество ДТП с пострадавшими",1060
"Амурская область","3_1","Количество лиц, погибших в результате ДТП",145
"Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1351
"Амурская область","3_1","Число погибших на 100 пострадавших","9,692513369"
"Магаданская область","3_1","Количество ДТП с пострадавшими",164
"Магаданская область","3_1","Количество лиц, погибших в результате ДТП",18
"Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",209
"Магаданская область","3_1","Число погибших на 100 пострадавших","7,929515419"
"Сахалинская область","3_1","Количество ДТП с пострадавшими",388
"Сахалинская область","3_1","Количество лиц, погибших в результате ДТП",52
"Сахалинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",510
"Сахалинская область","3_1","Число погибших на 100 пострадавших","9,252669039"
"Еврейская АО","3_1","Количество ДТП с пострадавшими",180
"Еврейская АО","3_1","Количество лиц, погибших в результате ДТП",23
"Еврейская АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",222
"Еврейская АО","3_1","Число погибших на 100 пострадавших","9,387755102"
"Чукотский АО","3_1","Количество ДТП с пострадавшими",16
"Чукотский АО","3_1","Количество лиц, погибших в результате ДТП",3
"Чукотский АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",15
"Чукотский АО","3_1","Число погибших на 100 пострадавших","16,66666667"
"ФТ ""Сириус""","3_1","Количество ДТП с пострадавшими",74
"ФТ ""Сириус""","3_1","Количество лиц, погибших в результате ДТП",5
"ФТ ""Сириус""","3_1","Количество лиц, получивших ранения в результате совершения ДТП",83
"ФТ ""Сириус""","3_1","Число погибших на 100 пострадавших","5,681818182"
"Всего по России","3_1","Количество ДТП с пострадавшими",115118
"Всего по России","3_1","Количество лиц, погибших в результате ДТП",12753
"Всего по России","3_1","Количество лиц, получивших ранения в результате совершения ДТП",144754
"Всего по России","3_1","Число погибших на 100 пострадавших","8,096783"
